,,CODIFICACIÓN,,,ETIQUETADO,,,,,
11,Apoyamos el reparto del trabajo con fórmulas como la anticipación de la edad de jubilación a los 60 años o los contratos de sustitución.,A403,,,,,,,,
12,Se debe controlar mejor la siniestralidad laboral con normas sobre la prevención de riesgos laborales en la UE e incremento de la inspección.,000,,,,,,,,
13,Exigimos un salario mínimo europeo que represente (al menos) el 60% del salario medio nacional y que no ponga en riesgo la negociación colectiva nacional.,000,,,,,,,,
14,"Hay que garantizar una vida digna para todo el mundo, para ello el ingreso mínimo para las personas desempleadas y la pensión mínima han de estar ligados al salario mínimo y ser ajustados automáticamente con la subida del IPC. Deben garantizarse jubilaciones flexibles según la edad tomando en consideración las normas de los distintos estados.",000,,,,,,,,
15,Exigimos reforzar el derecho de las personas inmigrantes a trabajar allá donde vivan dentro de la UE. Una ley de inmigración debería centrarse en desarrollar y garantizar los derechos de las personas inmigrantes y no en los intereses de las empresas que buscan mano de obra barata y que fuerzan a millones de personas inmigrantes a trabajar en el mercado negro. Rechazamos toda regulación o directiva en la UE y en sus países miembros que imponga la expulsión como alternativa prioritaria a la situación de irregularidad administrativa. Lo que necesitamos es una regulación y un permiso de trabajo que les permita buscar empleo.,000,,,,,,,,
16,"Rechazamos el concepto, incluido en la estrategia de Lisboa, de la “flexiseguridad”. Nuestras prioridades suponen avances en la lucha contra la pobreza, la marginación social, la precariedad, la conquista del pleno empleo con puestos de trabajo estables, incrementos salariales, pensiones y prestaciones sociales. Los impuestos han de aumentarse tanto sobre las ganancias como sobre el capital permitiendo una redistribución desde la cúspide a la base.",000,,,,,,,,
17,"que acentúe la progresividad de las cargas fiscales y se consiga que recaigan especialmente sobre los más ricos, las grandes empresas y las corporaciones transnacionales, es decir, sobre los que más tienen y no sobre los más pobres. Con armonización del IVA de forma que se reduzca el tipo mínimo en los servicios básicos dentro de los ámbitos del agua, energía, transporte y comunicaciones.",D403,,,PENURIA ENERGÉTICA,,,,,
18,"que promueva una armonización justa de los sistemas fiscales nacionales, en el ámbito de la UE primero y en el de la comunidad internacional posteriormente, a fin de evitar una competencia fiscal entre Estados tan nociva para la ciudadanía.",000,,,,,,,,
19,"que, junto al resto de Estados que integran la UE, establezca impuestos globales tipo Tasa Tobin sobre los flujos de capital especulativo, cuya recaudación sirva para combatir las consecuencias más perversas de la globalización, así como para incrementar la ayuda a los países empobrecidos y resguardar los bienes públicos mundiales.",A402,,,,,,,,
20,"que persiga y penalice la delincuencia financiera en todas sus formas, dotando de los medios necesarios a la inspección fiscal nacional, y promueva asimismo la creación de un cuerpo jurídico y una autoridad fiscal europeos. Puesta en marcha de un plan europeo de lucha contra el fraude fiscal, el blanqueo de dinero, las mafias y la corrupción.",000,,,,,,,,
21,"que dé pasos sustantivos en la abolición de los “paraísos fiscales”, comenzando por el no reconocimiento jurídico en España de las sucursales financieras y empresas pantalla creadas en los centros financieros extraterritoriales considerados paraísos fiscales.",000,,,,,,,,
22,"que, junto al resto de los Estados que integran la UE, comience a aplicar impuestos globales ecológicos, tales como los impuestos sobre las emisiones de CO2 y sobre el transporte internacional, para contribuir así a frenar el cambio climático y promover la sostenibilidad ambiental y la defensa de la biodiversidad.",D103,,,ENERGÍA,TRANSPORTE,,,,
23,"Las Comunidades Autónomas se subrogarán en el pago de los intereses de los créditos hipotecarios de los trabajadores en paro, cuyos ingresos familiares no superen la cantidad de 3,5 veces el IPREM y acordarán ayudas a fondo perdido para el pago del principal de la hipoteca de hasta el 50% del mismo, destinados a trabajadores en paro cuyos ingresos no lleguen a 2, 5 veces el IPREM.",000,,,,,,,,
24,"Las Comunidades Autónomas acordarán ayudas al pago del alquiler mensual de los trabajadores en paro sometidos a desahucio, siempre que sus ingresos no superen 2,5 veces el IPREM. Esta ayuda llegará hasta el 50% del alquiler mensual con un límite de 350€ por vivienda y mes.",B103,,,ACCESO,VIVIENDA,,,,
25,"El Estado adquirirá anualmente un paquete de vivien das construidas y que no hayan sido objeto de primera ocupación, en cantidad proporcional a la demanda de viviendas protegidas en cada municipio.",B103,,,GESTIÓN,VIVIENDA,,,,
26,"El precio de compra se determinará mediante: Subastas a la baja, estableciendo como límite máximo el precio medio de coste en la comar ca donde están las viviendas. Derecho de tanto y retracto sobre las adquisicio nes de vivienda hechas por los bancos y de las viviendas que salgan a subasta publica.",B103,,,GESTIÓN,VIVIENDA,,,,
27,Este paquete de viviendas se destinará prioritariamente al alquiler protegido como viviendas de alquiler tasado,B103,,,GESTIÓN,VIVIENDA,,,,
28,El precio máximo del alquiler no podrá superar el 30% de los ingresos de la unidad familiar.,B103,,,ACCESO,VIVIENDA,,,,
29,Durante el ejercicio de 2009 se propone la adquisición de 100.000 viviendas por este procedimiento.,B103,,,GESTIÓN,VIVIENDA,,,,
30,"El Estado incorporará en su Plan de Vivienda 2009-2012 un apartado específicamente dedicado a apoyar la autoconstrucción de viviendas con una línea de subvención a fondo perdido de 2.000 millones de € dedicado a apoyar, en colaboración con las corporaciones locales, la autoconstrucción de unas 20.000 viviendas. Los Ayuntamientos participarían en el proyecto cediendo suelo y financiando el proyecto de obras y la dirección técnica.",B103,,,GESTIÓN,VIVIENDA,,,,
31,Investigar del funcionamiento del mercado hipotecario,000,,,,,,,,
32,Investigar las responsabilidades de las autoridades encargadas del control del crédito hipotecario en la concesión de hipotecas basura y cómo eludieron los mecanismos de control.,000,,,,,,,,
