,,CODIFICACIÓN,,,ETIQUETADO,,,
42,"Crear un mecanismo flexible en la directiva del IVA de forma que en crisis económicas como la actual, por unanimidad, se puedan aplicar beneficios fiscales a sectores estratégicos o muy vulnerables, como por ejemplo el del automóvil.",A101,,,COMPETITIVIDAD INDUSTRIAL,,,
43,"Creación de un IVA verde. Un tipo agravado que se aplicaría a aquellos bienes y servicios que tengan más efecto contaminante. Este impuesto podría sustituir a algunos ya existentes como los impuestos sobre carburantes, lo que redundaría en beneficio de autónomos y PYMES.",D101,,,ENERGÍA,,,
44,"Prolongar, mientras dure la crisis económica, el periodo transitorio para el gasóleo profesional que terminaría en 2010.",D401,,,COMBINACIÓN ENERGÉTICA,,,
45,Eliminar progresivamente la tributación indirecta societaria que en España se traduce en el impuesto sobre operaciones societarias y en el impuesto sobre actos jurídicos documentados. De esta forma se fomenta la creación de empresas y la inversión empresarial.,000,,,,,,
46,"Armonizar las bases contables y fiscales del impuesto sobre sociedades para reducir costes burocráticos, aumentar la transparencia y la competencia.",B201,,,INFO. FISCAL,,,
47,"Aprobar un Reglamento de ayudas de estado fiscales para evitar competencia desleal y definir un marco transparente y previsible de la fiscalidad, especialmente la societaria en Europa.",000,,,,,,
48,"Eliminar el régimen de retención definitiva de la directiva de fiscalidad sobre el ahorro, lo que supone la eliminación del secreto bancario en Europa y la cobertura del fraude fiscal que este régimen supone.",000,,,,,,
49,Apoyar la directiva de intercambio de información entre autoridades fiscales en la Unión Europea.,B201,,,INFO. FISCAL,,,
50,"Actuar de manera coordinada en la esfera internacional para asegurar el fin de los paraísos fiscales que merman las bases fiscales, producen graves inequidades y distorsionan la competencia.",000,,,,,,
51,"La elaboración durante la Presidencia Española de un nuevo informe sobre “el coste de la no Europa”, que evalúe el impacto en la economía europea que todavía tiene la existencia de control público y falta de competencia en los sectores estratégicos: energía, transportes, comunicaciones y sistema financiero.",A401,,,,,,
52,"La creación de un nuevo sistema de coordinación de políticas de reforma que incluya fechas límites, a más tardar en 2011, para la eliminación de las barreras y trabas en los sectores estratégicos.",A401,,,,,,
53,Establecer un sistema de coordinación de los reguladores de sectores estratégicos con una directiva que regule normas comunes de funcionamiento.,000,,,,,,
54,"Agilizar los procedimientos y aumentar las sanciones para el incumplimiento de las normas de mercado interior, especialmente en lo concerniente a ayudas de estado.",A401,,,,,,
55,Establecer un sistema de sanciones para los Estados que incumplan los plazos de trasposición de directivas.,000,,,,,,
56,"Agilizar los procedimientos de la política de competencia, rebajando los umbrales que determinan la competencia comunitaria en los sectores considerados estratégicos.",000,,,,,,
57,"Apoyaremos los esfuerzos que sean necesarios para concluir satisfactoriamente la Ronda de Doha que actualmente se está negociando en el seno de la Organización mundial del Comercio. La Unión Europea y los Estados Unidos como principales socios comerciales deben llevar el liderazgo de las negociaciones, que deben concluir en un amplio acuerdo de liberalización mundial del comercio.",A401,,,,,,
58,Volveremos a situar a Latinoamérica y el Norte de África como áreas prioritarias para las negociaciones comerciales de la UE.,000,,,,,,
59,Consideramos necesaria una verdadera iniciativa política desde ambas orillas del Atlántico que cree las condiciones para un comercio verdaderamente libre entre las dos principales áreas económicas mundiales. Desde el Partido Popular apoyamos un reforzamiento del Consejo Económico Trasatlántico para se alcancen resultados concretos en la eliminación de estas barreras a lo que también debe contribuir el llamado Diálogo Trasatlántico de Legisladores.,A401,,,,,,
60,"Exigiremos a la Comisión Europea una mayor vigilancia ante las infracciones de otros Estados miembros de la OMC, así como la elaboración de propuestas que permitan mejorar los mecanismos de sanción actualmente existentes.",000,,,,,,
61,"En las negociaciones comerciales haremos valer el peso de España para que la Comisión tenga en cuenta las áreas que para nuestras empresas y sectores son más sensibles: protección de inversiones, indicaciones geográficas, industrias pesqueras y sectores agrarios.",000,,,,,,
62,Desde el Parlamento Europeo exigiremos a la Comisión que de prioridad a la eliminación de aquellas barreras que afecten más a nuestras empresas y que use toda la fuerza de la Unión para evitar que se establezcan nuevos obstáculos a nuestro comercio.,A401,,,,,,
63,"Consideramos que se debe coordinar una respuesta europea al problema de la financiación del comercio internacional, incrementando la dotación de los instrumentos de crédito actuales y elevando los techos del seguro a la exportación.",000,,,,,,
64,"La Unión Europa dedica importantes recursos a la I+D+i a través del Programa Marco. El objetivo principal del Partido Popular será crear un auténtico Mercado Común de la Ciencia, reforzando el Espacio Europeo de Investigación.",000,,,,,,
65,Apoyaremos que el gasto total de la Unión europea en I+D+i se incremente hasta alcanzar el objetivo del 4 por ciento del PIB comunitario en el año 2015.,000,,,,,,
66,Nuestro segundo objetivo será mejorar la transferencia de los resultados de I+D+i a la sociedad.,000,,,,,,
67,"Trabajaremos para que los objetivos del Programa Marco estén mejor alineados con las capacidades investigadoras reales europeas, estableciendo prioridades para las áreas en las que Europa cuenta con un mejor potencial, para las áreas que tienen un impacto más directo en la sociedad y en la economía, en particular en los sectores biomédico, alimentario, energético, las telecomunicaciones y el sector medioambiental, con especial atención al agua.",000,,,,,,
68,Propondremos un marco para mejorar la coordinación entre los programas comunitarios y los programas nacionales evitando que en la práctica se produzcan duplicidades y se conviertan en instrumentos que compiten entre sí.,000,,,,,,
69,"Consideramos necesario dotar al Programa Marco de mayor flexibilidad, de manera que se simplifiquen los trámites aliviando la carga administrativa que supone a las empresas la participación en los programas europeos y se evite en lo posible compartimentar los recursos y los objetivos.",000,,,,,,
70,Apoyaremos las actividades del Instituto Europeo de Tecnología para mejorar el rendimiento y la capacidad de innovación europea.,000,,,,,,
71,Apoyaremos el lanzamiento de plataformas tecnológicas de carácter público y privado que cubran todos los países de la Unión Europea y propugnaremos mejoras de la coordinación entre todas las plataformas tecnológicas ya existentes.,000,,,,,,
72,Fomentaremos la participación de las PYMES en aquellos foros donde se decide sobre las líneas de investigación que se considera necesario acometer.,000,,,,,,
73,Propondremos una revisión del sistema europeo de patentes para hacerlo más competitivo con el de nuestros competidores y para fomentar el uso efectivo de los nuevos descubrimientos.,000,,,,,,
74,"Apoyaremos la participación de España en grandes proyectos y programas de investigación internacional, con el objeto de mejorar los retornos que recibe nuestro país adecuándolos a su contribución.",000,,,,,,
75,Potenciaremos la instalación en España de grandes instalaciones de investigación europeas.,000,,,,,,
76,"Impulsaremos la ciencia y la tecnología en todas las etapas educativas, transmitiendo su importancia en la enseñanza obligatoria y promoviendo vocaciones científicas en la enseñanza superior y en la formación profesional.",000,,,,,,
77,"Favoreceremos el intercambio de investigadores y tecnólogos entre los distintos Estados miembros de la Unión, favoreciendo también la formación en países extracomunitarios.",000,,,,,,
78,Promoveremos la creación de empresas que incorporen los nuevos avances científicos y tecnológicos que surjan en el sector público y las universidades.,000,,,,,,
79,Impulsaremos en toda Europa la Internet del Futuro a través de las redes de nueva generación modificando los aspectos regulatorios y financieros que retrasan su extensión.,000,,,,,,
80,"Garantizaremos de la Internet de alta capacidad en todo el territorio, apoyando con fondos europeos su despliegue en el medio rural.",000,,,,,,
81,Consideramos prioritaria la adopción de un paquete de regulación de las telecomunicaciones que facilite el despliegue de las redes de fibra óptica de alta capacidad en un entorno de competencia.,000,,,,,,
82,"Promoveremos un sistema de gestión del espectro radioeléctrico que fomente la rápida implantación de las redes de telefonía móvil de cuarta generación, necesarias para el Internet móvil de muy alta velocidad. Es necesario un esfuerzo de armonización para que Europa pueda repetir el éxito del sistema GSM.",000,,,,,,
83,"Promoveremos que las frecuencias provenientes del dividendo digital, el espectro que quedará libre al convertir la televisión analógica en digital, se pongan a disposición de los operadores para el desarrollo de la sociedad de la información.",000,,,,,,
84,"Deseamos reforzar el papel de las instituciones europeas en la promoción de la competencia en el sector de las telecomunicaciones, cuando las autoridades nacionales no hayan actuado con la necesaria eficacia en este ámbito.",000,,,,,,
85,Impulsaremos mejoras del sistema europeo de estandarización de las TIC.,000,,,,,,
86,Favoreceremos una Internet abierta en la que no se limite el derecho de los usuarios a intercambiar información.,000,,,,,,
87,"Favoreceremos la extensión de las nuevas redes sociales y los contenidos compartidos entre los internautas, con el necesario respeto a la intimidad, a la seguridad y a los derechos de autor.",000,,,,,,
88,Propondremos una normativa que garantice que ningún usuario sea privado de su acceso a Internet y que prevenga la creación de sistemas de canon digital indiscriminados sobre los soportes y dispositivos digitales con independencia del fin para el que vayan a ser utilizados por los usuarios.,000,,,,,,
89,"Promoveremos sistemas más justos para compensar los derechos de autor basados en el uso efectivo de las obras y en los nuevos modelos de negocio propios de la economía digital. Propondremos un mecanismo revisado, justo, de compensación consensuado entre creadores, productores, operadores de telecomunicaciones, industria electrónica y consumidores y usuarios.",000,,,,,,
90,Consideramos que se deben poner en marcha programas europeos destinados a promover la plena incorporación de las Tecnologías de la Información y la Comunicación en la actividad de las PYMES.,000,,,,,,
91,"Promoveremos una Carta Europea de derechos de los usuarios de telecomunicaciones y de Internet, que incluya la necesaria protección de usuarios y consumidores, frente a los operadores del sector.",000,,,,,,
92,"Adoptaremos una nueva dimensión de los servicios audiovisuales que supere la división tradicional entre la televisión, Internet y el ocio digital y sirva de soporte para el acceso a los servicios públicos.",B102,,,ACCESO,SOCIEDAD DE LA INFORMACIÓN,,
93,"Reforzaremos la seguridad y la intimidad de las personas como pilar esencial del Internet del futuro, proponiendo una revisión de la normativa comunitaria en materias como la privacidad de los datos personales.",000,,,,,,
94,Potenciaremos la lucha coordinada contra los delitos en Internet.,000,,,,,,
95,"Propondremos el desarrollo de la identidad digital europea, que permita convertir el ciberespacio europeo en un entorno seguro para los internautas.",000,,,,,,
96,Promoveremos la plena alfabetización digital para lograr que todos dispongamos de los conocimientos suficientes para utilizar las nuevas tecnologías.,000,,,,,,
97,"La adopción de un nuevo Programa “Educación y Formación 2020”, con objetivos ambiciosos, debe ser una tarea prioritaria en la agenda de la Unión y constituir un área preferente de cooperación reforzada. El Programa debe fijar no sólo objetivos de carácter cuantitativo sino también debe orientar el impulso de las reformas que resultan imprescindibles para la mejora de la eficacia de los sistemas educativos y debe incluir algunas acciones promovidas por las instituciones de la Unión Europea que sean de interés general para los sistemas educativos europeos y cumplan con la observancia del principio de subsidiariedad, que inspira a las políticas de la Unión.",B101,,,GESTIÓN,ADECUACIÓN,EDUCACIÓN,
98,"Que la elaboración del Programa se lleve a cabo con una nueva metodología, que implique más a los Gobiernos de los Estados miembros y a las instituciones comunes de la Unión, cuente, también, con una mayor participación de la sociedad y, particularmente, del mundo educativo (padres de alumnos, profesores, entidades titulares de centros escolares).",B102,,,DERECHOS,EDUCACIÓN,,
99,Reducir el fracaso escolar y alcanzar una tasa de graduación en educación secundaria obligatoria de al menos el 90 por 100.,000,,,,,,
100,"Combatir el abandono educativo temprano de modo eficaz, ofreciendo a los escolares, en todo caso, vías formativas adecuadas a sus necesidades para proporcionarles una cualificación que les permita incorporarse al mundo laboral.",000,,,ACCESO,EDUCACIÓN,,
101,Incrementar la oferta de plazas en educación infantil preescolar con la finalidad de promover la conciliación entre la vida familiar y laboral.,B102,,,,,,
102,"Mejorar los resultados escolares en lengua y matemáticas, incorporando métodos de aprendizaje adaptados a las necesidades de los escolares y con evaluaciones que midan el progreso de los alumnos.",000,,,,,,
103,"Superar el objetivo del 85 por 100 de graduación en educación secundaria superior, con vías diversificadas que preparen adecuadamente a los jóvenes para su incorporación al mercado de trabajo.",000,,,,,,
104,Reforzar el bachillerato para que proporcione el bagaje de conocimientos científicos y humanísticos necesarios para proseguir los estudios superiores.,000,,,,,,
105,"Intensificar el aprendizaje de lenguas, especialmente el inglés, para lograr que en el período 2010-2020 al menos el 80 por 100 de los alumnos aprendan dos idiomas desde edades tempranas. Este esfuerzo deberá concentrarse a partir de la educación infantil.",000,,,,,,
106,Impulsar los programas de movilidad entre los estudiantes de educación secundaria.,000,,,,,,
107,"Introducir en los programas de bachillerato una asignatura específica sobre antecedentes, objetivos y funcionamiento de la Unión Europea y de sus instituciones con el fin de mejorar su conocimiento por los jóvenes y de reforzar los valores europeos.",C101,,,"VALORES, DERECHOS Y LIBERTADES",EDUCACIÓN,,
108,"Impulsar programas, coordinados entre los Estados miembros, que faciliten la integración en la escuela de los alumnos procedentes de familias migrantes y sirvan de apoyo a sus necesidades formativas específicas.",B102,,,ACCESO,EDUCACIÓN,,
109,"Intensificar los programas de formación permanente de los adultos, teniendo en cuenta el impacto de la actual crisis económica en el empleo y las futuras necesidades en el mercado de trabajo.",000,,,,,,
110,"Promover la movilidad en todos los ámbitos del sistema educativo, con el desarrollo de programas específicos para tal fin destinados a los profesores de los distintos niveles y estudiantes, fundamentalmente a partir de la educación secundaria superior.",000,,,,,,
111,"Reforzar la incorporación de las tecnologías de la información y la comunicación en el sistema educativo, reduciendo las brechas entre países, y promoviendo las estrategias adecuadas para la generalización de buenas prácticas en las aplicaciones informáticas de uso educativo.",000,,,,,,
112,"Desarrollar en los alumnos el sentido y la importancia del esfuerzo, el gusto por aprender, la superación personal y el espíritu emprendedor y de innovación y creatividad.",000,,,,,,
113,Reforzar en los escolares los valores del respeto y la autoridad de los profesores.,000,,,,,,
114,"Dignificar la función docente, reforzar su profesionalización y promover el respaldo de las familias y del conjunto de la sociedad.",000,,,,,,
115,"Garantizar y ampliar la libertad de los padres para elegir el tipo de educación, el centro docente de sus hijos.",000,,,,,,
116,Garantizar que la formación religiosa y moral que reciban los alumnos esté de acuerdo con las convicciones de padres y alumnos.,000,,,,,,
117,"Reforzar la transmisión de nuestra herencia cultural común, fundamentalmente a través del estudio de las humanidades, así como de los valores básicos que configuran el modo de vida nuestra civilización occidental.",C101,,,"VALORES, DERECHOS Y LIBERTADES",EDUCACIÓN,,
118,"Promover los valores cívicos democráticos, el respeto de los derechos y libertades fundamentales, la correlación entre derechos y deberes, para la formación de ciudadanos libres y responsables, con garantías de que la escuela no se convierta en un lugar de adoctrinamiento.",C101,,,"VALORES, DERECHOS Y LIBERTADES",EDUCACIÓN,,
119,"Impulsar una gestión innovadora, moderna y eficaz de los centros educativos que refuerce su autonomía así como las políticas de mejora de la calidad.",B101,,,GESTIÓN,EDUCACIÓN,,
120,"Incrementar las oportunidades de los jóvenes mediante un sistema educativo más flexible que ofrezca vías formativas adaptadas a los intereses y motivaciones de los alumnos y en el que nadie quede impedido por motivos socioeconómicos a cursar los estudios de su elección, con arreglo a los principios de mérito y capacidad.",B101,,,ACCESO,EDUCACIÓN,,
121,"Establecer los vínculos más estrechos entre los Sistemas Nacionales de Cualificaciones y el Marco Europeo, que se basen en los resultados del aprendizaje, los procesos de evaluación y validación, la transferencia de créditos, los módulos formativos y el aseguramiento de la calidad.",000,,,,,,
122,"Impulsar y reforzar a escala europea un sistema integrado de las formaciones profesionales, que integre tanto la formación inicial como la ocupacional y continua.",000,,,,,,
123,"Dotar al sistema de la mayor flexibilidad, con mecanismos de control y de transparencia que garanticen su capacidad de adaptación permanente a las demandas del mercado de trabajo.",C201,,,ORIENTACIÓN SISTEMAS DE ENSEÑANZA,,,
124,Establecer un calendario para que todos los Estados miembros pongan en funcionamiento de manera efectiva el Sistema Europeo de Créditos de Formación Profesional y vinculen todas sus actuaciones al Marco de Referencia Europeo de Garantía de la Calidad.,000,,,,,,
125,Establecer un programa europeo que facilite la ampliación de la movilidad relacionada con el aprendizaje en el ámbito de la formación profesional. Este programa deberá de contar con fondos que incentiven la movilidad de los trabajadores en proceso de formación.,000,,,,,,
126,Impulsar beneficios fiscales a escala europea para aquellas empresas que colaboren en estas prácticas de los trabajadores en sus procesos de formación.,000,,,,,,
127,"Establecer un programa de impulso a los conocimientos lingüísticos de los estudiantes de formación profesional inicial, procurando que en todas las familias profesionales se incluyan módulos del aprendizaje del inglés y de otras lenguas de la Unión Europea. Este programa incluirá estancias en centros acreditados por su calidad en los diferentes países de la Unión Europea.",000,,,,,,
128,"Impulsar el desarrollo profesional de profesores y formadores, con el otorgamiento de licencias de estudio y estancias en empresas punteras del sector profesional correspondiente, que permita su puesta al día con arreglo a la evolución tecnológica de los sectores productivos.",000,,,,,,
129,"Establecer y aplicar un modelo de aseguramiento de la calidad, mediante la puesta en marcha de un “PISA europeo de la formación profesional”, que permita conocer la situación y los resultados formativos de las inversiones públicas y privadas realizadas en este ámbito.",000,,,,,,
130,"Impulsar “centros europeos de referencia” en materia de formación profesional en aquellos sectores estratégicos para la Unión Europea, que estén dotados de los mejores medios humanos e instalaciones para ofrecer una formación profesional de alta calidad tecnológica. Los alumnos de estos centros serían seleccionados por méritos entre todos los países de la Unión Europea.",B101,,,ACCESO,ADECUACIÓN,EDUCACIÓN,
131,"Promover un modelo de “Distrito abierto europeo”, basado en la igualdad de oportunidades en el acceso a las instituciones universitarias. Los estudiantes podrán elegir libremente carrera y centro con arreglo a su mérito y capacidad.",B101,,,ACCESO,EDUCACIÓN,,
132,"Crear una red europea de Universidades y de Títulos de excelencia. Las Universidades y Centros que logren la correspondiente acreditación, por órganos independientes, formarán parte de la red de excelencia y tendrán preferencia en las ayudas de los Programas de Investigación y de Educación Superior de la Unión Europea.",000,,,,,,
133,"Ampliar, con mayores fondos, los programas Erasmus para intensificar la movilidad de todos los miembros de la comunidad académica.",000,,,,,,
134,"Incorporar, en la reedición de la Estrategia de Lisboa, indicadores basados en los resultados del aprendizaje en las Universidades, que incluya datos de la evolución laboral de los estudiantes y de su movilidad profesional. Con este fin, la Unión Europea promoverá un “informe PISA” para las Universidades que mida, con indicadores solventes, la calidad, la eficiencia y los resultados de las Universidades.",C201,,,ORIENTACIÓN SISTEMAS DE ENSEÑANZA,,,
135,"Promover nuevos modelos de financiación de la Universidad Europea, atendiendo a las necesidades de movilidad, de solidaridad, autonomía y eficiencia, que permitan alcanzar el objetivo del 2 por 100 del PIB.",B102,,,GESTIÓN,EDUCACIÓN,,
136,"Reforzar el compromiso de hacer más estrecha la relación Universidad-Investigación, incrementando el número de becas, programas y proyectos financiados a fin de estimular la investigación. Propondremos beneficios fiscales que sean eficaces para movilizar la iniciativa privada en esta dirección.",000,,,,,,
137,"Crear e impulsar programas de intercambio de las Universidades europea con Universidades de otros espacios geográficos. Entre estos programas, defenderemos un programa Europa-Iberoamérica, en el que España juegue un papel destacado por sus especiales vínculos históricos y culturales.",000,,,,,,
138,"Abordar de modo efectivo las reformas estructurales sociales y económicas en el marco de los programas nacionales, tal y como demandan las políticas comunitarias para el crecimiento económico y la creación de empleo.",A401,,,,,,
139,"Facilitar la conciliación de la vida personal, familiar y profesional, criterio fundamental en la Estrategia de Lisboa, ya que permite una mayor participación de hombres y mujeres en el mercado de trabajo y contribuyen al crecimiento económico. Estas facilidades habrán de traducirse en flexibilidad horaria, excluyendo la jornada laboral de 65 horas a la que nos hemos opuesto y vamos a seguir oponiéndonos. Consideramos imprescindibles los permisos por razones familiares y el apoyo de los sectores público y privado para atender a los niños y a las personas dependientes (guarderías, servicio de atención a domicilio, residencias, centros de día).",000,,,,,,
140,"También será preciso introducir otras medidas flexibilizadoras en el ámbito escolar, transportes, sector comercial.",B101,,,ADECUACIÓN,EDUCACIÓN,SERVICIOS DE TRANSPORTE,
141,"Impulsaremos en la Unión Europea políticas de protección y apoyo a la maternidad. Cuando muchas familias con hijos tienen especiales dificultades, toda la sociedad tiene una responsabilidad con ellas. Garantizaremos el derecho de los padres como primeros responsables de la educación de sus hijos en libertad.",000,,,,,,
142,"Así mismo en apoyo a la familia, se establecerán reducciones fiscales y ventajas en materia de acceso a vivienda y de prestaciones sociales buscando la convergencia europea en las ayudas por hijo a cargo y en protección de la maternidad.",B102,,,ACCESO,VIVIENDA,,
143,Favorecer un marco europeo de apoyo a las personas con discapacidad basado en la extensión de las mejores prácticas aplicadas en los diferentes estados miembros.,C102,,,DIVERSIDAD FUNCIONAL,REGULACIÓN,,
144,Impulsar programas europeos de intercambios entre estudiantes en los distintos niveles educativos y de formación profesional.,000,,,,,,
145,"Potenciar las iniciativas comunitarias y nacionales a favor de la formación a lo largo de toda la vida de modo que se ofrezcan mayores y mejores oportunidades para los trabajadores, sobre todo, para los menos cualificados.",000,,,,,,
146,Avanzar en las iniciativas comunitarias sobre criterios y sistemas de calidad de la formación y certificación y acreditación de cualificaciones.,000,,,,,,
147,"Reforzar en las políticas comunitarias y de los Estados Miembros los contenidos de la acción formativa en cuanto a la capacidad emprendedora y la utilización de las TIC, así como los conocimientos lingüísticos y económicos.",000,,,,,,
148,"Adoptar en la Unión Europea, programas y medidas potentes para promover la igualdad efectiva de mujeres y hombres en los distintos aspectos de la vida personal, laboral y familiar y en especial en lo relativo a retribuciones y promoción profesional.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,
149,"Aprobar medidas adecuadas para favorecer la integración laboral de los jóvenes en busca de su primer empleo, de los parados de larga duración y de las personas con discapacidad –respaldando el Plan de Acción Europeo y las Directivas Comunitarias-, y, en general, de quienes se vean afectados por situaciones de discriminación, de exclusión social o de pobreza.",C102,,,DIVERSIDAD FUNCIONAL,REGULACIÓN,,
