,,CODIFICACIÓN,,,ETIQUETAS,,,,
73,Establir un fons específic per a la incentivació comunitària dels cultius vegetals ecològics i de la criança ecològica de ramats destinats al consum humà.,A202,,,CONDICIONALIDAD,,,,
74,Establir un fons específic per a la comercialització dels cultius vegetals i de la ramaderia ecològica.,A202,,,CONDICIONALIDAD,,,,
75,"Millorar els sistemes de control i les actuacions immediates en les crisis de pandèmies de les cabanes ramaderes, refent, si és el cas, el protocol comunitari d’actuació.",000,,,,,,,
76,Establir un sistema suficient de compensacions econòmiques per a les explotacions que es veuen afectades per l’extensió d’un episodi epizoòtic.,000,,,,,,,
77,"Elaboració d’una directiva marc que exigeixi l’etiquetatge comunitari de la traçabilitat completa dels aliments de procedència animal: règim alimentari, edat al sacrifici, pes, procedència geogràfica, mètode de criança, etc.",000,,,,,,,
78,Millora de la inspecció i dels controls en frontera comunitària pel que fa a l’entrada de carns i peixos extracomunitaris; exigir la certificació de les condicions sanitàries establertes per la UE.,A301,,,MECANISMOS DE MERCADO,,,,
79,"Promoure en cada regió aquelles produccions pròpies, distintives, creades amb tècniques locals tradicionals, que ofereixen una qualitat intrínseca.",000,,,,,,,
80,Promocionar amb paraigües comunitaris i regionals en els mercats interiors les produccions amb certificació- segell de qualitat.,000,,,,,,,
81,Promocionar aquestes produccions en els mercats exteriors.,000,,,,,,,
82,"Pomoure l’elaboració segura i sostenible de productes artesanals transformats de cultius i criances autòctones, tot fomentant les economies locals.",A203,,,DESARROLLO RURAL,,,,
83,"Establir programes de protecció de varietats agropecuàries i pesqueres de qualitat, pròpies de les zones agrícoles editerrànies: fruits secs, vins, apicultura i derivats de la mel, fruita dolça cítrica, carn de muntanya, mantegues i formatges, peix de costa, etc. a fi de sostenir els territoris productors i oferir una alimentació de proximitat.",A203,A303,,CONDICIONALIDAD,GESTIÓN PESQUERÍAS,,,
84,Promoció del tap de suro i de la indústria surera.,000,,,,,,,
85,"Renegociar la promoció de produccions europees elaborades sota condicions artificioses (xaptalització de vins, per exemple) per afavorir aquelles que són naturals i concordes amb el territori i el clima.",000,,,,,,,
86,"Afavorir les Cooperatives agropecuàries i altres agrupacions de productors. Actuacions per al progrés de les formes cooperatives d’agricultors, ramaders i pescadors i de llurs seccions de crèdit, a fi que s’agrupin en formes cooperatives de segon i tercer graus; mobilitzar els seus recursos i capacitats per a una major i millor producció i per a la transformació artesanal o industrial de la seva producció.",A201,A301,,DESARROLLO RURAL,MECANISMOS DE MERCADO,,,
87,Programes de recerca per a la transformació i preparació dels aliments. Donar suport econòmic i d’intercanvi científic als ens públics de recerca i de transferència de tecnologia que han estat creats per a la investigació sobre la producció d’aliments i la transformació de les matèries primeres en productes alimentaris per al mercat.,A201,A301,,DESARROLLO RURAL,INFORMACIÓN CIENTÍFICA,,,
88,Programa d’incentivació d’indústries agroalimentàries radicades en les regions productores de matèries primeres que les abasteixin.,A201,,,MEDIDAS DE MERCADO,,,,
89,"Incentivació de xarxes regionals i interregionals de producció, transformació i comercialització de la producció alimentària generada en aquestes, en la direcció d’una economia d’escala i alhora de proximitat.",A201,,,DESARROLLO RURAL,,,,
90,"Establiment d’una norma que exigeixi l’etiquetatge de la traçabilitat de preus en el producte final exposat en el punt de venda, a fi que el consumidor en conegui els escreixos de preu en cada punt de la cadena de comercialització.",000,,,,,,,
91,"Establiment d’un observatori de preus agropecuaris i de la mar en el marc de la UE, en cooperació amb els diversos observatoris estatals o regionals.",000,,,,,,,
92,"Establiment de programes amb majors recursos econòmics per a la diversificació de l’activitat en l’àmbit rural agrari: - Ajuts públics al relleu generacional en l’activitat agropecuària. - Suport a la instal·lació de negocis sostenibles, lligats a la vida rural i a l’activitat del camp o del mar. - Programes perquè les administracions locals i supralocals puguin determinar fórmules de promoció dels valors patrimonials i naturals del territori.- Pla europeu per a la incentivació de l’ús d’espais agrícoles per a la implementació d’indústries de producció energètica neta: solar, eòlica, biomassa, etc.",A202,A302,D402,DESARROLLO RURAL,MECANISMOS DE MERCADO,,,
93,Establiment d’un programa/directiva marc de mobilitat en el món rural per a l’accés als serveis públics del territori i per a l’accés als llocs de socialització de la població.,B102,,,GESTIÓN,ACCESO,,,
94,"Pla europeu de millora de les vies públiques de comunicació territorial: camins, carreteres, ferrocarrils, navegació fluvial, etc.",000,,,,,,,
95,Establiment d’un programa marc/directiva per a l’extensió en tots els àmbits rurals de la UE de les tecnologies de la informació i de la comunicació (TIC).,000,,,,,,,
96,"Reformar l’actual Política Agrícola Comú i la seva política de subvencions, per tal d’avançar cap a una producció ramadera sostenible. Incentivar fiscalment les empreses que desenvolupen productes lliures de contingut animal i penalitzar aquelles que produeixen amb un alt cost ambiental i que impedeixen que els països membres puguin optimitzar els seus recursos hídrics, energètics i alimentaris.",A202,,,CONDICIONALIDAD,,,,
97,profundir en els sistemes de control i d’inspecció per a l’acompliment de la normativa europea sobre el benestar dels animals destinats al consum humà en tots els moments de llur criança j fins al sacrifici.,000,,,,,,,
98,"Revisar progressivament a l’alça les exigències de la directiva per al benestar animal en les granges, en el transport i en el sacrifici.",000,,,,,,,
99,"Proposar la creació d’un comitè d’experts de la UE que assessori les empreses ramaderes per reconvertir les seves explotacions en models sostenibles i ètics, tot eliminant l’explotació d’animals.",000,,,,,,,
100,"Cercar espais per a l’acostament entre les associacions defensores dels drets dels animals i les associacions ecologistes i altermundistes, tot destacant els punts en comú compartits dins del marc legislatiu de la UE.",000,,,,,,,
101,Millorar el control en el compliment dels compromisos europeus sobre l’experimentació amb animals.,000,,,,,,,
102,"Proposar la publicació oberta de bases de dades on constin els assajos que actualment realitzen les empreses amb animals vius i, en contrapartida, els mètodes alternatius que existeixen per evitar aquestes pràctiques.",000,,,,,,,
103,Promoure la revisió anual de la legislació sobre experimentació amb animals de manera que s’incorpori immediatament els mètodes alternatius existents i es redueixi l’experimentació amb animals.,000,,,,,,,
104,"Aconseguir de la UE un acord multilateral que faci moratòria dels usos de pells d’animals per al vestit, sacrificats específicament per a aquest fi. Consecució d’una directiva de prohibició de sacrificis d’espècies animals per a l’aprofitament de la pell en la indústria dels vestits.",000,,,,,,,
105,"Fomentar el creixement i desenvolupament d’empreses que produeixen materials sintètics, alternatius a l’ús de pells.",000,,,,,,,
106,Millorar les normes europees pel que fa a l’ús dels animals en espectacles que els causen dolor i mort o que els denigren en tant que espècie o ésser sensitiu.,000,,,,,,,
107,Proposar com a mesura inicial l’eliminació de tota subvenció que afavoreixi aquesta pràctica.,000,,,,,,,
108,Destinar recursos de la pròpia UE per trobar alternatives culturals i festives en els pobles on es realitzen aquestes activitats.,000,,,,,,,
109,Promoure un projecte per fomentar l’esterilització dels animals de companyia a la UE. La falta de control en la cria i comercialització d’animals suposa greus problemes.,000,,,,,,,
110,Controlar i acabar amb les pràctiques de maltractament de gossos de caça. Modificar l’actual legislació per a la protecció d’aquests gossos.,000,,,,,,,
111,"La Unió Europea ha d’introduir una protecció més estricta per als animals domèstics i exòtics. Cal restringir les importacions de forma substancial per respectar la salut i el benestar dels animals, així com la seva conservació.",000,,,,,,,
112,Impulsar l’acceptació de les mesures proposades pel Projecte Gran Simi.,000,,,,,,,
113,Fomentar polítiques comunes d’educació on s’incloguin matèries de protecció i respecte als animals.,000,,,,,,,
114,Crear espais de conscienciació sobre la protecció dels animals per als eurodiputats.,000,,,,,,,
115,"Sol·licitar la creació d’una oficina de Protecció Animal de la UE, atorgar-li plenes facultats per investigar i informar a la Comissió i al Consell sobre la problemàtica dels animals i les mesures que es poden adoptar des de la UE per millorar la legislació en aquest sentit.",000,,,,,,,
116,"Crear un sistema europeu de normes laborals i socials bàsiques. En matèria salarial, de condicions de treball, drets sindicals, protecció social, salut i seguretat, amb l’objectiu de millorar i equiparar a l’alça les condicions de vida i treball i evitar el dumping social.",000,,,,,,,
117,"Crear ocupació. Afavorir la inversió en sectors estratègics i amb fort impacte en la creació d’ocupació. Infraestructures sostenibles: xarxes de transport públic ferroviari, equipaments educatius, sanitaris, culturals i socials. Protecció i millora dels espais protegits i de la biodiversitat.",D202,,,NATURALEZA Y BIODIVERSIDAD,,,,
118,Establir un marc per a la negociació col·lectiva a nivell europeu. Enfortir els comitès d’empresa europeus i garantir els drets de participació dels treballadors i les treballadores.,000,,,,,,,
119,Enfortir la contractació indefinida. Desenvolupar un marc legal que estableixi la contractació indefinida com a model de referència I reforçar el principi de causalitat en la contractació temporal. ICV-EUIA s’oposa a les mesures de flexibilització de la contractació que es plantegen des de sectors empresarials.,000,,,,,,,
120,ICV-EUIA seguirà defensant la setmana laboral de 35 hores com a instrument de creació d’ocupació i s’oposarà a qualsevol intent de revitalitzar la Directiva sobre el temps de treball (65 hores).,000,,,,,,,
121,Impulsar mesures en matèria de condicions i organització del treball per facilitar la conciliació entre la vida laboral i personal.,000,,,,,,,
122,Salaris dignes. Pel manteniment del poder adquisitiu i la participació dels treballadors i les treballadores en el creixement de la productivitat. Promoure un marc regulador que impedeixi les pràctiques de dumping salarial dins la Unió Europea.,000,,,,,,,
123,"Estendre el Salari Mínim a tots els països de la Unió Europea. Aplicació de la resolució del Parlament d’octubre de 2008, per la qual es proposa que el salari mínim sigui, almenys, el 60% del salari mitjà net de cada país.",000,,,,,,,
124,"Homogeneïtzar a l’alça els sistemes europeus per a la protecció de les persones en atur. Millorar la cobertura per a les persones desocupades que no tinguin altres rendes, especialment dones amb càrregues familiars no compartides i persones majors de 45 anys. Establir una prestació per a aquelles persones sense feina que finalitzin la prestació d’atur i que assisteixin a cursos de formació i reciclatge.",000,,,,,,,
125,Reforçar els serveis públics d’ocupació per adequar a l’actual context de crisi econòmica tant la intermediació laboral com les polítiques actives d’ocupació. Garantir programes públics que afavoreixin la inserció laboral mitjançant itineraris integrals d’orientació–formació–ocupació.,000,,,,,,,
126,"Augmentar els recursos del FSE per tal de millorar l’oferta de formació ocupacional i de reciclatge, perquè les persones en atur puguin accedir a una oferta formativa de qualitat i adequada al seu perfil.",000,,,,,,,
127,Impulsar polítiques a escala europea que millorin la seguretat en el treball i la salut laboral per reduir la sinistralitat laboral i les malalties professionals derivades del treball. Aquesta política de millora de la qualitat del treball ha de comptar amb la participació dels representants dels treballadors i les treballadores.,000,,,,,,,
128,"Promoure la progressiva homogeneïtzació de les polítiques socials al si de la Unió Europea, pioritzar la lluita contra la pobresa i mot especialment la pobresa infantil.",000,,,,,,,
129,Incrementar la dotació del Fons Social Europeu.,000,,,,,,,
130,"Incloure en els pròxims Tractats de la Unió clàusules socials per afavorir la necessària convergència de despesa pública en polítiques socials que actuïn com a homogeneïtzadores a l’alça dels drets socials al si de la Unió Europea. Més en concret, cal recollir la proposta de la Confederació Europea de Sindicats d’annexar un Protocol de progrés social al Tractat per tal de garantir que el mercat únic no és una fi en si mateix sinó que ha de permetre contribuir a la millora de les condicions de vida i treball dels ciutadans i les ciutadanes.",000,,,,,,,
131,"Exigència de clàusules socials en les contractacions públiques, que salvaguardin la prioritat dels drets fonamentals sobre els drets de mercat.",000,,,,,,,
